position,person,personID,start,gender,DOB,DOD,image,enwiki
Special Minister of State,Don Farrell,Q5292594,2022-05-23,male,1954-06-06,,Don Farrell.jpg,Don Farrell
Assistant Minister for Climate Change and Energy,Jenny McAllister,Q16732210,2022-05-23,female,1973-07-04,,,Jenny McAllister
"Assistant Minister for Competition, Charities and Treasury",Andrew Leigh,Q4757734,2022-05-23,male,1972-08-03,,Andrew Leigh MP.jpg,Andrew Leigh
Assistant Minister for Defence,Matt Thistlethwaite,Q6789423,2022-05-23,male,1972-09-06,,Matt Thistlethwaite.jpg,Matt Thistlethwaite
Assistant Minister for Education,Anthony Chisholm,Q18719336,2022-05-23,male,1978-02-24,,Senator Chisholm.jpg,Anthony Chisholm (politician)
Assistant Minister for Foreign Affairs,Tim Watts,Q16222127,2022-05-23,male,1982-06-08,,Tim Watts 2016.jpg,Tim Watts (politician)
Assistant Minister for Health and Aged Care,Ged Kearney,Q14954679,2022-05-23,female,1963-10-29,,Ged Kearney 29 Oct 2013.jpg,Ged Kearney
Assistant Minister for Indigenous Australians,Malarndirri McCarthy,Q6741359,2022-05-23,female,1970-04-19,,Malarndirri McCarthy.jpg,Malarndirri McCarthy
Assistant Minister for Indigenous Health,Malarndirri McCarthy,Q6741359,2022-05-23,female,1970-04-19,,Malarndirri McCarthy.jpg,Malarndirri McCarthy
Assistant Minister for Infrastructure and Transport,Carol Brown,Q5044273,2022-05-23,female,1963-07-19,,,Carol Brown (politician)
Assistant Minister for Manufacturing,Tim Ayres,Q64152293,2022-05-23,male,1973-12-18,,,Tim Ayres
Assistant Minister for Mental Health and Suicide Prevention,Emma McBride,Q25844494,2022-05-23,female,1975-04-27,,Emma McBride Tacoma Public School 2017 (cropped).jpg,Emma McBride
Assistant Minister for the Prevention of Family Violence,Justine Elliot,Q6318352,2022-05-23,female,1967-07-29,,Justine Elliot.jpg,Justine Elliot
Assistant Minister for Regional Development and Territories,Anthony Chisholm,Q18719336,2022-05-23,male,1978-02-24,,Senator Chisholm.jpg,Anthony Chisholm (politician)
Assistant Minister for the Republic,Matt Thistlethwaite,Q6789423,2022-05-23,male,1972-09-06,,Matt Thistlethwaite.jpg,Matt Thistlethwaite
Assistant Minister for Rural and Regional Health,Emma McBride,Q25844494,2022-05-23,female,1975-04-27,,Emma McBride Tacoma Public School 2017 (cropped).jpg,Emma McBride
Assistant Minister for Social Services,Justine Elliot,Q6318352,2022-05-23,female,1967-07-29,,Justine Elliot.jpg,Justine Elliot
Assistant Minister for Trade,Tim Ayres,Q64152293,2022-05-23,male,1973-12-18,,,Tim Ayres
Assistant Minister for Veterans' Affairs,Matt Thistlethwaite,Q6789423,2022-05-23,male,1972-09-06,,Matt Thistlethwaite.jpg,Matt Thistlethwaite
Assistant Minister to the Prime Minister,Patrick Gorman,Q55807656,2022-05-23,male,1984-12-12,,,Patrick Gorman (politician)
President of the Senate,Slade Brockman,Q36913535,2021-10-18,male,1970-03-27,,,Slade Brockman
Speaker of the House of Representatives,Andrew Wallace,Q25756194,2021-11-23,male,1968-04-23,,Andrew Wallace.png,Andrew Wallace
Leader of the Government in the Senate,Simon Birmingham,Q7518284,2020-10-30,male,1974-06-14,,Simon Birmingham.jpg,Simon Birmingham
Manager of Government Business in the Senate,Anne Ruston,Q4768766,2019-05-29,female,1963-06-10,,Anne Ruston 2018-11-21.jpg,Anne Ruston
Attorney-General,Mark Dreyfus,Q6767411,2022-05-23,male,1956-10-03,,"Mark Dreyfus, Australian Labor MP in 2005.jpg",Mark Dreyfus
Chief Justice,Susan Kiefel,Q7648065,2017-01-30,female,1954-01-17,,Susan Kiefel 2011.jpg,Susan Kiefel
Chief Justice of the Federal Court,James Allsop,Q6128666,2013-03-01,male,1953,,1 james allsop 2017.jpg,James Allsop
Director of Public Prosecutions,Sarah McNaughton,Q81408591,2016-05-16,female,,,,Sarah McNaughton
Director-General of the Australian Secret Intelligence Service,Paul Symon,Q7153896,2017-12-18,male,1960,,PaulSymonPortrait.jpg,Paul Symon
Director-General of the Australian Signals Directorate,Rachel Noble,Q96211161,2020-02,female,,,,Rachel Noble
Solicitor-General,Stephen Donaghue,Q28009342,2017-01-16,male,1973-01-07,,,Stephen Donaghue
Treasurer,Jim Chalmers,Q16217223,2022-05-23,male,1978-03-02,,Dr Jim Chalmers tight crop.jpg,Jim Chalmers
Assistant Treasurer,Stephen Jones,Q7609616,2022-05-23,male,1965-06-29,,172 Stephen Jones MP at a health forum in Cleveland Queensland 10 June 2016.jpg,Stephen Jones (Australian politician)
Governor of the Reserve Bank,Philip Lowe,Q27922677,2016-09-18,male,1961-10-04,,Philip Lowe 2017-01.jpg,Philip Lowe
Chief of Air Force,Robert Chipman,Q112768314,2022-07-01,male,,,,Robert Chipman
Chief of Joint Operations,Greg Bilton,Q18639131,2019-07-01,male,1965-03-02,,Gregory C. Bilton.jpg,Greg Bilton
Chief of Navy,Mark Hammond,Q104848351,2022-07-06,male,,,,Mark Hammond (admiral)
Chief of the Defence Force,Angus Campbell,Q5676860,2018-07-06,male,,,Angus Campbell.jpg,Angus Campbell (general)
Governor of New South Wales,Margaret Beazley,Q6759174,2019-05-02,female,1951-07-23,,,Margaret Beazley
Premier of New South Wales,Dominic Perrottet,Q5290616,2021-10-05,male,1982-09-21,,"CEBIT Australia - Day 2, The Hon Dominic Perrottet MP (2) (cropped).jpg",Dominic Perrottet
Governor of Queensland,Jeannette Young,Q102105618,2021-11-01,female,1963,,"Jeannette Young, Chief Health Officer, Queensland Government, 2020 (cropped) 2.jpg",Jeannette Young
Premier of Queensland,Annastacia Palaszczuk,Q4768021,2015-02-14,female,1969-07-25,,Annastacia Palaszczuk 2016.jpg,Annastacia Palaszczuk
Governor of South Australia,Frances Adamson,Q5478491,2021-10-07,female,1961-04-20,,Frances Adamson (2).jpg,Frances Adamson
Premier of South Australia,Peter Malinauskas,Q7175622,2022-03-21,male,1980-08,,Peter Malinauskas.jpg,Peter Malinauskas
Governor of Tasmania,Barbara Baker,Q107015364,2021-06-16,female,,,,Barbara Baker
Premier of Tasmania,Jeremy Rockliff,Q6181827,2022-04-08,male,1970-02-05,,Jeremy-Rockliff.jpg,Jeremy Rockliff
Governor of Victoria,Linda Dessau,Q6551523,2015-07-01,female,1953-05-08,,Linda Dessau.jpg,Linda Dessau
Premier of Victoria,Daniel Andrews,Q5216414,2014-12-04,male,1972-06-06,,Daniel Andrews 2018.jpg,Daniel Andrews
Governor of Western Australia,Chris Dawson,Q41790075,2022-07,male,,,,Chris Dawson (police officer)
Premier of Western Australia,Mark McGowan,Q16197112,2017-03-17,male,1967-07-13,,"Mark McGowan, shark cull protest (crop).png",Mark McGowan
Administrator of the Northern Territory,Vicki O'Halloran,Q42409570,2017-10-31,female,1964-06-20,,,Vicki O'Halloran
Chief Minister of the Northern Territory,Natasha Fyles,Q16213089,2022-05-13,female,1978-05-26,,FylesPortrait.png,Natasha Fyles
Chief Minister of the Australian Capital Territory,Andrew Barr,Q4756289,2014-12-11,male,1973-04-29,,AndrewBarrportrait (cropped).jpg,Andrew Barr
Administrator of Norfolk Island,Eric Hutchinson,Q16730000,2017-04-01,male,1965-06-19,,,Eric Hutchinson (politician)
Administrator of the Indian Ocean Territories,Natasha Griggs,Q16207753,2017-10-05,female,1969-01-24,,NatashaGriggs.png,Natasha Griggs
